,precision,recall,f1-score,support
BENIGN,0.9993571864137386,0.9985504377282126,0.9989536491897107,454620.0
Botnet,0.6851385390428212,0.6921119592875318,0.6886075949367089,393.0
BruteForce,0.9971129556116926,0.9985543910372244,0.9978331527627302,2767.0
DoS,0.9962898383523211,0.9981086973653104,0.9971984384739034,76138.0
Other,0.02040816326530612,0.1111111111111111,0.034482758620689655,9.0
PortScan,0.9936182193580679,0.9992449506071855,0.9964236416112435,31786.0
WebAttack,0.9288990825688074,0.9288990825688074,0.9288990825688074,436.0
accuracy,0.9982495774080675,0.9982495774080675,0.9982495774080675,0.9982495774080675
macro avg,0.8029748549446792,0.818082947100769,0.8060569025948275,566149.0
weighted avg,0.9983235564981818,0.9982495774080675,0.998285366641537,566149.0
